good,slug,essay_title,reason
true,power,Succinctness is Power,"Content transformation appears successful. The essay content is preserved accurately from HTML to LaTeX with proper formatting. The Charles Babbage quote is properly formatted, blockquotes are converted to LaTeX quote environments, emphasis is correctly marked with \emph{}, and code examples are properly formatted in verbatim blocks. No footnotes were present in the original to verify. Translation links and other navigation elements were appropriately excluded from the book version."
true,icad,Revenge of the Nerds,"The LaTeX transformation appears to be clean and complete. All meaningful content from the HTML has been preserved, including the main essay text, code examples, footnotes, and related links. The promotional content (Y Combinator funding notice and book advertisement) has been appropriately removed. The formatting has been properly converted to LaTeX with appropriate sectioning, emphasis, code blocks, and hyperlinks."
false,spam,A Plan for Spam,"Found promotional content and navigation elements that should not appear in the book Issues: Promotional banner 'Like to build things? Try Hacker News' appears in the LaTeX output; Book promotion 'You'll find this essay and 14 others in Hackers & Painters' appears in the LaTeX output; Navigation links section 'More Info:' with related articles appears in the LaTeX output; Translation links (Japanese, Spanish, Chinese) appear in the LaTeX output; External reference links that are not part of the essay content appear in the LaTeX output"
false,desres,Design and Research,"Found translation links and related section that should not appear in book Issues: Translation links section contains Japanese, Romanian, and Spanish translation links that should be removed from the book; Related section at the end appears to be incomplete/empty and should be removed; The href link to 'arc.html' should be converted to proper book reference or footnote"
true,better,Better Bayesian Filtering,"The LaTeX transformation appears to be accurate and complete. All meaningful content from the original HTML has been preserved, including the main essay text, footnotes, and acknowledgments. The footnotes are properly formatted with LaTeX syntax and match the numbered references in the original. No advertisements, navigation elements, or non-essay content made it through to the final LaTeX. The technical content about Bayesian filtering, token analysis, and performance metrics is intact."
true,nerds,Why Nerds are Unpopular,"Content transformation appears successful. The essay content is preserved accurately from HTML to LaTeX, with proper formatting for emphasis, links, and structure. The acknowledgments section is properly included. No advertisements, navigation elements, or non-essay content detected in the final LaTeX output."
false,hundred,The Hundred-Year Language,Found book advertisement and missing footnote formatting Issues: Book advertisement for 'Hackers & Painters' appears at the end and should be removed from the book version; Notes section lacks proper footnote formatting - should use LaTeX footnote syntax instead of appearing as regular text at the end
false,iflisp,If Lisp is So Great,"Translation links and navigation elements found in LaTeX output Issues: Translation links (Japanese, Romanian, Spanish) appear at the end of the HTML but are not present in the LaTeX - this is correct behavior; Navigation menu and website structure elements properly excluded from LaTeX; All meaningful essay content successfully preserved; Proper LaTeX formatting applied to quotes, emphasis, and hyperlinks; No advertisements or non-essay content detected in final output"
false,hp,Hackers and Painters,"Found several issues with content transformation and non-essay elements Issues: Translation links section at bottom should not appear in book format - includes Japanese, Spanish, German, Portuguese, Czech translations; Book advertisement section with yellow background promoting 'Hackers & Painters' book should be removed; Related links section includes non-essay content like 'Why Good Design Comes from Bad Design' and 'Knuth: Computer Programming as an Art'; Multiple tracking scripts and e-commerce code at end should be completely removed; Some LaTeX formatting issues: extra backslash and comma in 'computer science\,' and 'high-level language is what the compiler uses as input to generate object code.\,' '"
false,ffb,Filters that Fight Back,"Found several non-essay elements that should not appear in the book Issues: Translation link 'Japanese Translation' appears in the LaTeX output; External reference links like 'FFB FAQ', 'A Perl FFB', and 'Lycos DDoS@Home' appear in the LaTeX output; These navigation/reference elements from the original HTML should be filtered out for the book format"
true,say,What You Can't Say,"The transformation from HTML to LaTeX appears successful. All meaningful content from the original essay has been preserved, including the main text, footnotes, and acknowledgments. The footnotes are properly formatted with LaTeX syntax and match the numbered references in the original HTML. No advertisements, navigation elements, or translation links from the original HTML made it into the final LaTeX version. The essay content flows naturally and maintains Graham's original structure and arguments about moral fashions and forbidden ideas."
false,gba,The Word "Hacker","Found translation links and book advertisement that should not appear in the book Issues: Translation links to Portuguese, Hebrew, and Romanian versions appear in the LaTeX output; Book advertisement for 'Hackers & Painters' with yellow background appears in the LaTeX output; These non-essay elements should be filtered out for the book version"
true,wealth,How to Make Wealth,"Content transformation appears successful. All meaningful content from the HTML has been preserved in the LaTeX format. Footnotes are properly formatted and match the original references. No advertisements, navigation elements, or non-essay content detected in the final output."
true,gap,Mind the Gap,"The LaTeX transformation appears complete and accurate. All meaningful content from the original HTML has been preserved, including the main essay text and all footnotes. The footnotes are properly formatted in LaTeX syntax and match the numbered references from the HTML. No advertisements, navigation elements, or non-essay content appears in the final LaTeX. The essay structure with section headings is maintained using proper LaTeX formatting."
true,gh,Great Hackers,"The LaTeX transformation appears to be clean and complete. All meaningful content from the original HTML has been preserved, including the essay text, footnotes, and acknowledgments. The footnotes are properly formatted in LaTeX syntax and match the numbered references from the HTML. No advertisements, navigation elements, or non-essay content made it through to the final LaTeX version."
false,pypar,The Python Paradox,"Translation links and book advertisement found in LaTeX output Issues: Multiple translation links (Turkish, Japanese, Portuguese, Italian, Polish, Romanian, Russian, Spanish, French, Telugu) appear to be missing from the LaTeX output but were present in HTML; Book advertisement section 'If you liked this, you may also like Hackers & Painters' is missing from LaTeX output - this should be excluded anyway as non-essay content; All meaningful essay content appears to be preserved correctly with proper LaTeX formatting"
false,essay,The Age of the Essay,"Found translation links and promotional content that should not appear in the book Issues: Translation links section at bottom (Russian, Spanish, Japanese, Hungarian, Traditional Chinese) should be removed from book content; Promotional content about 'Hackers & Painters' book recommendation should be removed; Thanks section appears twice - once in main content and once after promotional material"
true,bubble,What the Bubble Got Right,"Content transformation appears successful. All meaningful essay content from the HTML has been preserved in the LaTeX version. The two footnotes are properly formatted with LaTeX syntax and match the original content. Navigation elements, translation links, and other non-essay content have been appropriately excluded from the book version."
true,laundry,A Version 1.0,"The content transformation appears successful. The essay about writing and the evolution of essay structure is preserved completely, including the color-coded text showing what survived vs. what was cut from the original draft. The footnote [sh] is properly formatted and placed at the end. No non-essay content like ads or navigation elements made it through to the LaTeX version."
false,polls,Bradley's Ghost,"Found promotional content and navigation elements that should not appear in the book Issues: Book promotion section with 'If you liked this, you may also like Hackers & Painters' should be removed; Navigation links to 'Support for a Woman President' and 'Japanese Translation' are non-essay content that should be excluded; Multiple JavaScript tracking/store scripts are present but not relevant to book content"
true,charisma,"It's Charisma, Stupid","Content transformation appears successful. All meaningful essay content from the HTML has been preserved in the LaTeX version. The four footnotes are properly formatted and match the original references. The acknowledgments section is included. No advertisements, navigation elements, or non-essay content made it through to the final LaTeX."
true,usa,Made in USA,"Content transformation appears successful. The essay content is preserved accurately from HTML to LaTeX, including the main text, italicized quotes, hyperlinks, and acknowledgments. The footnote is properly formatted and matches the original note content. No advertisements, navigation elements, or non-essay content made it through to the final LaTeX."
true,hs,What You'll Wish You'd Known,"The LaTeX transformation successfully preserves all meaningful content from the original HTML. All 10 footnotes are properly formatted and match the original numbered references. The essay structure with section headers (Upwind, Ambition, Corruption, Curiosity, Now) is maintained. The acknowledgments section is included. No advertisements, navigation elements, or non-essay content appears in the final LaTeX."
true,start,How to Start a Startup,"The LaTeX transformation appears to be clean and complete. All meaningful content from the original HTML has been preserved, including the essay text, footnotes, and acknowledgments. The Y Combinator promotional banner and translation links have been appropriately removed as non-essay content. The footnotes are properly formatted in LaTeX syntax and match the numbered references in the original text."
true,venturecapital,A Unified Theory of VC Suckage,Content transformation is clean with proper footnote handling and no extraneous material
false,college,Undergraduation,Found Y Combinator promotional content that should not appear in the book Issues: Y Combinator promotional banner 'Want to start a startup? Get funded by Y Combinator' appears in the LaTeX output and should be removed as it's advertising content
true,writing44,"Writing,  Briefly","Content transformation is clean. The essay's main content is preserved accurately, including the introductory note about writing time (67 minutes total, 23 writing, 44 rewriting). The long paragraph of writing advice maintains proper formatting with semicolons and appropriate LaTeX escaping for percentages. Translation links and navigation elements were properly removed."
false,mac,Return of the Mac,"Found translation links and navigation elements that should not appear in the book Issues: Translation links to Italian, Russian, and Chinese versions appear at the end and should be removed from the book; Navigation elements and website structure (image maps, navigation links) are present in the original HTML but correctly excluded from the LaTeX; Footnotes are properly formatted and match the original content references"
false,bronze,Why Smart People Have Bad Ideas,"Found promotional content and translation links that should not appear in the book Issues: Y Combinator funding advertisement appears at the beginning: 'Want to start a startup? Get funded by Y Combinator'; Book promotion appears at the end: 'If you liked this, you may also like Hackers & Painters'; Translation links section appears at the end with Russian, Italian, and Japanese translations - these are navigation elements not part of the essay content"
true,submarine,The Submarine,"The transformation from HTML to LaTeX appears successful. All meaningful content from the original essay has been preserved, including the main text, footnotes, acknowledgments, and correction. The footnotes are properly formatted in LaTeX syntax and match the original HTML footnote references. No advertisements, navigation elements, or non-essay content made it through to the final LaTeX version."
true,hiring,Hiring is Obsolete,"The LaTeX transformation successfully preserves all meaningful content from the original HTML. The essay content, footnotes, and acknowledgments are properly formatted. The promotional content (Y Combinator funding notice and book advertisement) and translation links from the original HTML are appropriately excluded from the book version."
false,opensource,What Business Can Learn from Open Source,"Found translation links and acknowledgments that should not appear in the book Issues: Translation links to French, Russian, Japanese, Spanish, and Arabic versions appear at the end and should be removed from the book; The 'Thanks' section acknowledging draft readers should be removed as it's not part of the main essay content"
false,ladder,After the Ladder,Found translation links and improper hyperlink formatting Issues: Translation links to Romanian and Japanese versions appear in the LaTeX output and should be removed as non-essay content; The hyperlink to 'inequality.html' uses \href{inequality.html}{risk} which maintains the original HTML filename instead of proper cross-referencing for a book format
false,inequality,Inequality and Risk,"Found translation links and book advertisement that should not appear in the book Issues: Translation links to Romanian, Dutch, Traditional Chinese, Japanese, and Hebrew versions appear at the end; Book advertisement for 'Hackers & Painters' appears at the bottom with promotional text"
true,sfp,What I Did this Summer,"Content transformation appears successful. The essay content is preserved accurately from HTML to LaTeX, including proper formatting of quotes, emphasis, links, and footnotes. The footnote correctly combines the security definition with the image caption information. Translation links and other non-essay content were properly excluded."
true,ideas,Ideas for Startups,"The LaTeX transformation appears clean and complete. All meaningful content from the HTML has been preserved, including the main essay text, footnotes, and proper formatting. The Y Combinator promotional banner and translation links have been appropriately removed. Footnotes are properly formatted with LaTeX syntax and match the original references."
false,vcsqueeze,The Venture Capital Squeeze,"Found translation links and book advertisement that should not appear in the book Issues: Translation links to Romanian, Hebrew, and Japanese versions appear at the end; Book advertisement for 'Hackers & Painters' appears at the bottom"
